"","X","country","efrac","bti_ci","bti_cr","cpds_vt","ti_cpi","ccp_democ","br_dem","bti_ffe","bti_gp","bti_ij","bti_mes","bti_pdi","bti_sdi","ti_cpi_max","al_ethnic2000","al_religion2000"
"92",92,"Mauritania",0.62,5,5,NA,28,1,0,3,4.25,4,4.178571224,3,2.5,32.4757309,0.61500001,0.0148691
"93",93,"Mauritius",0.46,1,8,NA,52,1,1,9,8.104166985,9,7.928571224,9,9,57.12438965,0.463400006,0.638465881
"94",94,"Mexico",0.54,7,4,NA,29,1,1,7,5.650000095,5,6.357142925,6,6.5,31.83020973,0.541800022,0.1795571
"95",95,"Moldova",0.55,4,6,NA,32,1,1,6,5.449999809,4,5.75,6,6,35.92816925,0.553478003,0.560292006
"96",96,"Monaco",0.68,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,0.683799982,0.3046875
"97",97,"Mongolia",0.37,2,7,NA,35,1,1,8,6.729166508,6,6,7,7,38.09560013,0.368223995,0.079861201
"98",98,"Montenegro",NA,3,8,NA,45,1,0,6,7.783333302,7,7.071428776,7,6.5,52.93151855,NA,NA
"99",99,"Morocco",0.48,4,5,NA,41,1,0,3,4.849999905,2,5.714285851,2,2,46.16685104,0.484057188,0.0034627
"100",100,"Mozambique",0.69,5,3,NA,26,1,0,6,4.666666508,3,4,3,3,30.8828907,0.693216026,0.675908029
"101",101,"Myanmar",0.51,9,2,NA,29,1,0,7,3.733333349,3,3.25,2,2.5,35.90898132,0.506186008,0.197385505
"102",102,"Namibia",0.63,4,7,NA,52,1,0,9,5.849999905,9,5.428571224,7,7.5,57.13747025,0.632903993,0.662610173
"103",103,"Nauru",0.58,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,0.583199978,0.619362175
"104",104,"Nepal",0.66,6,5,NA,34,1,1,8,4.633333206,6,4.571428776,6,6.5,36.88539886,0.663222015,0.141681805
"105",105,"New Zealand",0.4,1,NA,72.90000153,87,2,1,NA,NA,NA,NA,NA,NA,90.74984741,0.39684999,0.811007977
"106",106,"Nicaragua",0.48,6,3,NA,22,1,0,5,3.066666603,2,4.642857075,2,2.5,23.90645981,0.484400004,0.429026514
"107",107,"Nigeria",0.85,9,4,NA,26,1,1,7,4.316666603,7,3.928571463,5,5.5,29.06373024,0.850459993,0.742144525
"108",108,"Norway",0.06,1,NA,78.19999695,84,1,1,NA,NA,NA,NA,NA,NA,86.70057678,0.058600001,0.204800501
"109",109,"Oman",0.44,3,2,NA,52,2,0,2,4.050000191,2,5.535714149,2,2,68.03755951,0.437256008,0.432176799
"110",110,"Pakistan",0.71,8,3,NA,32,1,1,6,3.75,3,4.178571224,3,3,36.03656006,0.709800005,0.384828687
